example,model,tau,target_positive_fraction,predicted_positive_fraction,precision,recall,f1,figure_path
3,unet,0.05448939214646098,0.01080322265625,0.06427001953125,0.1671415004748338,0.9943502824858758,0.2861788617886179,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_03_model_comparison.png
3,attn_unet,0.05448939214646098,0.01080322265625,0.05377197265625,0.1963677639046538,0.9774011299435028,0.3270321361058601,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_03_model_comparison.png
3,unet_pp,0.05448939214646098,0.01080322265625,0.06549072265625,0.16402609506057783,0.9943502824858758,0.2816,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_03_model_comparison.png
3,deeplabv3p,0.05448939214646098,0.01080322265625,0.0594482421875,0.18172484599589322,1.0,0.30755864465682015,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_03_model_comparison.png
4,phys_tau_net,0.023537973635359803,0.05487060546875,0.082275390625,0.05341246290801187,0.08008898776418243,0.06408544726301735,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_04_model_comparison.png
4,unet,0.023537973635359803,0.05487060546875,0.082763671875,0.0,0.0,0.0,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_04_model_comparison.png
4,attn_unet,0.023537973635359803,0.05487060546875,0.03826904296875,0.0,0.0,0.0,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_04_model_comparison.png
4,unet_pp,0.023537973635359803,0.05487060546875,0.04302978515625,0.0,0.0,0.0,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_04_model_comparison.png
4,deeplabv3p,0.023537973635359803,0.05487060546875,0.00421142578125,0.0,0.0,0.0,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_04_model_comparison.png
5,phys_tau_net,0.053462080644301885,0.115234375,0.15814208984375,0.6592049401775376,0.9046610169491526,0.76267023889261,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_05_model_comparison.png
5,unet,0.053462080644301885,0.115234375,0.20263671875,0.5403614457831325,0.9502118644067796,0.6889400921658986,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_05_model_comparison.png
5,attn_unet,0.053462080644301885,0.115234375,0.210205078125,0.5275842044134728,0.9623940677966102,0.6815453863465868,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_05_model_comparison.png
5,unet_pp,0.053462080644301885,0.115234375,0.18603515625,0.573490813648294,0.9258474576271186,0.7082658022690438,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_05_model_comparison.png
5,deeplabv3p,0.053462080644301885,0.115234375,0.168212890625,0.6182873730043541,0.902542372881356,0.7338501291989664,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_05_model_comparison.png
6,phys_tau_net,0.023679127967591473,0.08734130859375,0.20928955078125,0.34995625546806647,0.8385744234800838,0.4938271604938272,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_06_model_comparison.png
6,unet,0.023679127967591473,0.08734130859375,0.2568359375,0.33246197718631176,0.9776380153738644,0.49618726724596557,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_06_model_comparison.png
6,attn_unet,0.023679127967591473,0.08734130859375,0.1787109375,0.45867486338797814,0.9385045422781272,0.6161963753154394,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_06_model_comparison.png
6,unet_pp,0.023679127967591473,0.08734130859375,0.2391357421875,0.3568147013782542,0.9769392033542977,0.5227145260796411,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_06_model_comparison.png
6,deeplabv3p,0.023679127967591473,0.08734130859375,0.12603759765625,0.4213075060532688,0.6079664570230608,0.4977116704805492,data/outputs/publication_figures/synthetic_segmentation_examples/synthetic_example_06_model_comparison.png
